date,price
4/28/2025,1226.80
4/25/2025,1229.23
4/24/2025,1223.35
4/23/2025,1211.00
4/22/2025,1197.13
4/21/2025,1207.07
4/18/2025,1219.12
4/17/2025,1217.25
4/16/2025,1210.30
4/15/2025,1227.79
4/14/2025,1241.44
4/11/2025,1222.46
4/10/2025,1168.34
4/9/2025,1094.30
4/8/2025,1132.79
4/4/2025,1210.67
4/3/2025,1229.84
4/2/2025,1317.83
4/1/2025,1317.33
3/31/2025,1306.86
3/28/2025,1317.46
3/27/2025,1323.81
3/26/2025,1326.09
3/25/2025,1331.92
3/24/2025,1330.32
3/21/2025,1321.88
3/20/2025,1323.93
3/19/2025,1324.63
3/18/2025,1330.97
3/17/2025,1336.26
3/14/2025,1326.15
3/13/2025,1326.27
3/12/2025,1334.41
3/11/2025,1332.54
3/10/2025,1330.28
3/7/2025,1326.05
3/6/2025,1318.22
3/5/2025,1304.71
3/4/2025,1311.91
3/3/2025,1309.37
2/28/2025,1305.36
2/27/2025,1307.80
2/26/2025,1302.96
2/25/2025,1303.16
2/24/2025,1304.56
2/21/2025,1296.75
2/20/2025,1292.98
2/19/2025,1288.56
2/18/2025,1278.14
2/17/2025,1272.72
2/14/2025,1276.08
2/13/2025,1270.35
2/12/2025,1266.91
2/11/2025,1268.45
2/10/2025,1263.26
2/7/2025,1275.20
2/6/2025,1271.48
2/5/2025,1269.61
2/4/2025,1264.68
2/3/2025,1253.03
1/24/2025,1265.05
1/23/2025,1259.63
1/22/2025,1242.53
1/21/2025,1246.09
1/20/2025,1249.55
1/17/2025,1249.11
1/16/2025,1242.36
1/15/2025,1236.18
1/14/2025,1229.07
1/13/2025,1235.65
1/10/2025,1230.48
1/9/2025,1245.77
1/8/2025,1251.02
1/7/2025,1246.95
1/6/2025,1246.35
1/3/2025,1254.59
1/2/2025,1269.71
12/31/2024,1266.78
12/30/2024,1272.02
12/27/2024,1275.14
12/26/2024,1272.87
12/25/2024,1274.04
12/24/2024,1260.36
12/23/2024,1262.76
12/20/2024,1257.50
12/19/2024,1254.67
12/18/2024,1266.00
12/17/2024,1261.72
12/16/2024,1263.79
12/13/2024,1262.57
12/12/2024,1267.35
12/11/2024,1268.86
12/10/2024,1272.07
12/9/2024,1273.84
12/6/2024,1270.14
12/5/2024,1267.53
12/4/2024,1240.41
12/3/2024,1249.83
12/2/2024,1251.21
11/29/2024,1250.46
11/28/2024,1242.11
11/27/2024,1241.97
11/26/2024,1242.13
11/25/2024,1234.70
11/22/2024,1228.10
11/21/2024,1228.33
11/20/2024,1216.54
11/19/2024,1205.15
11/18/2024,1217.12
11/15/2024,1218.57
11/14/2024,1231.89
11/13/2024,1246.04
11/12/2024,1244.82
11/11/2024,1250.32
11/8/2024,1252.56
11/7/2024,1259.75
11/6/2024,1261.28
11/5/2024,1245.76
11/4/2024,1244.71
11/1/2024,1254.89
10/31/2024,1264.48
10/30/2024,1258.63
10/29/2024,1261.78
10/28/2024,1254.77
10/25/2024,1252.72
10/24/2024,1257.41
10/23/2024,1270.90
10/22/2024,1269.89
10/21/2024,1279.77
10/18/2024,1285.46
10/17/2024,1286.52
10/16/2024,1279.48
10/15/2024,1281.08
10/14/2024,1286.34
10/11/2024,1288.39
10/10/2024,1286.36
10/9/2024,1281.85
10/8/2024,1271.98
10/7/2024,1269.93
10/4/2024,1270.60
10/3/2024,1278.10
10/2/2024,1287.84
10/1/2024,1292.20
9/30/2024,1287.94
9/27/2024,1290.92
9/26/2024,1291.49
9/25/2024,1287.48
9/24/2024,1276.99
9/23/2024,1268.48
9/20/2024,1272.04
9/19/2024,1271.27
9/18/2024,1264.90
9/17/2024,1258.95
9/16/2024,1239.26
